0	L	243.533	180	1	6		
1	T	381.489	180	0	7	2	
2	T	820	180	1	10	3	
3	L	965	180	2	11		
4	L	1116	180	12	5		
5	L	1255	180	4	13		
6	L	243.533	313.919	0	7		
7	X	381.489	313.919	6	1	8	15
8	T	530.706	313.919	7	16	9	
9	T	671.477	313.919	8	17	10	
10	T	820	313.919	2	9	18	
11	T	965	313.919	19	12	3	
12	T	1116	313.919	13	4	11	
13	T	1255	313.919	5	12	27	
14	L	243.533	480	28	15		
15	T	381.489	480	16	7	14	
16	X	530.706	480	8	17	22	15
17	T	671.477	480	9	16	23	
18	T	820	480	24	19	10	
19	X	965	480	11	20	25	18
20	L	1116	480	19	26		
21	L	381.489	625	29	22		
22	X	527.89	625	16	23	30	21
23	X	671.477	625	17	24	31	22
24	T	820	625	18	23	32	
25	T	965	625	33	26	19	
26	T	1116	625	27	20	25	
27	T	1255	625	13	26	41	
28	T	243.533	770	43	29	14	
29	X	381.489	770	21	30	35	28
30	L	530.706	770	22	29		
31	T	671.477	770	37	32	23	
32	T	820	770	33	24	31	
33	T	965	770	34	25	32	
34	L	1116	770	40	33		
35	T	381.489	910	44	36	29	
36	T	527.89	910	35	45	37	
37	T	671.477	910 38	31	36	
38	T	820	910	37	47	39	
39	T	965	910	38	48	40	
40	X	1116	910	34	41	49	39
41	L	1255	910	27	40		
42	SOURCE	92.909	1060	43			
43	T	243.533	1060	44	28	42	
44	L	381.489	1060	43	35		
45	T	530.706	1060	52	46	36	
46	T	671.477	1060	45	53	47	
47	X	820	1060	38	48	54	46
48	X	965	1060	39	49	55	47
49	X	1116	1060	40	50	56	48
50	L	1255	1060	57	49		
51	SINK	243.533	1210	52			
52	T	527.89	1210	53	45	51	
53	T	671.477	1210	54	46	52	
54	L	820	1210	47	53		
55	L	965	1210	48	56		
56	T	1116	1210	57	49	55	
57	L	1255	1210	50	56
