0	L	243.533	195.671	1	6		
1	T	381.489	190.041	0	7	2	
2	T	810.84	180.187	1	10	3	
3	L	951.61	180.187	2	11		
4	L	1113.497	180.187	12	5		
5	L	1245.822	177.371	4	13		
6	L	247.757	313.919	0	7		
7	X	380.081	325.181	6	1	8	15
8	T	530.706	335.034	7	16	9	
9	T	671.477	332.219	8	17	10	
10	T	812.247	327.996	2	9	18	
11	T	967.095	308.288	19	12	3	
12	T	1107.866	305.473	13	4	11	
13	T	1244.414	306.88	5	12	27	
14	L	244.941	487.067	28	15		
15	T	380.081	472.99	16	7	14	
16	X	527.89	468.767	8	17	22	15
17	T	660.215	468.767	9	16	23	
18	T	824.917	465.951	24	19	10	
19	X	965.688	474.398	11	20	25	18
20	L	1105.051	474.398	19	26		
21	L	391.343	633.469	29	22		
22	X	527.89	630.653	16	23	30	21
23	X	675.7	625.022	17	24	31	22
24	T	813.655	620.799	18	23	32	
25	T	972.726	609.538	33	26	19	
26	T	1112.089	599.684	27	20	25	
27	T	1254.268	601.091	13	26	41	
28	T	242.126	775.647	43	29	14	
29	X	388.527	768.609	21	30	35	28
30	L	520.852	758.755	22	29		
31	T	684.146	765.793	37	32	23	
32	T	824.917	754.531	33	24	31	
33	T	968.503	753.124	34	25	32	
34	L	1105.051	765.793	40	33		
35	T	395.566	917.826	44	36	29	
36	T	533.521	922.049	35	45	37	
37	T	683	910	38	31	36	
38	T	833.363	922.049	37	47	39	
39	T	976.949	916.418	38	48	40	
40	X	1119.128	907.972	34	41	49	39
41	L	1252.86	888.264	27	40		
42	SOURCE	92.909	1064.227	43			
43	T	246.349	1060.004	44	28	42	
44	L	375.858	1054.373	43	35		
45	T	537.744	1062.819	52	46	36	
46	T	689.777	1067.043	45	53	47	
47	X	829.14	1058.596	38	48	54	46
48	X	975.542	1054.373	39	49	55	47
49	X	1121.943	1055.781	40	50	56	48
50	L	1258.491	1057.189	57	49		
51	SINK	249.164	1221.891	52			
52	T	532.114	1207.813	53	45	51	
53	T	694	1197.959	54	46	52	
54	L	819.286	1195.144	47	53		
55	L	992.434	1190.921	48	56		
56	T	1130.389	1185.29	57	49	55	
57	L	1258.491	1179.659	50	56
